+----------------+---------------+
| Sessions count | Players count |
+----------------+---------------+
|             34 |             1 |
|             37 |             1 |
|              8 |             1 |
|             38 |             2 |
|             35 |             2 |
|             32 |             3 |
|             30 |             4 |
|             33 |             4 |
|              9 |             4 |
|             10 |             6 |
|             11 |             7 |
|             29 |             8 |
|             31 |             9 |
|             28 |            16 |
|             27 |            23 |
|             12 |            26 |
|             13 |            28 |
|             14 |            35 |
|             26 |            41 |
|             25 |            43 |
|             16 |            54 |
|             22 |            64 |
|             23 |            66 |
|             24 |            66 |
|             15 |            67 |
|             18 |            72 |
|             17 |            84 |
|             19 |            86 |
|             20 |            87 |
|             21 |            90 |
+----------------+---------------+
30 rows in set (0.05 sec)
