+---------------------+------------------------------+-------------+
| Game fields's type  | Card's name                  | Usage count |
+---------------------+------------------------------+-------------+
| Город               | CAPTURE HOSTAGE & INFILTRATE |         482 |
| Город               | DAMAGE LIMITATION            |         488 |
| Город               | UPLOAD VIRAL CODE            |         509 |
| Город               | ROB AND RANSACK              |         467 |
| Город               | CHALLENGE                    |         477 |
| Город               | EXECUTION                    |         530 |
| Город               | TRIANGULATE                  |         509 |
| Город               | DEADLY MARKSMAN              |         485 |
| Город               | SABOTAGE                     |         521 |
| Город               | RETRIEVAL                    |         483 |
| Город               | MARK TARGET                  |         487 |
| Город               | ROUT                         |         497 |
| Город               | BEHIND ENEMY LINES           |         470 |
| Город               | OVERRUN                      |         474 |
| Город               | HEADHUNTER                   |         495 |
| Город               | VANTAGE                      |         480 |
| Город               | PROTECT ASSETS               |         463 |
| Город               | INTERLOPER                   |         489 |
| Город               | CENTRAL CONTROL              |         490 |
| Город               | HOLD THE LINE                |         471 |
| Город               | PLANT BANNER                 |         486 |
| Город               | SEIZE GROUND                 |         479 |
| Город               | PLANT SIGNAL BEACON          |         473 |
| Город               | IMPLANT                      |         467 |
| Пустыня             | MARK TARGET                  |         480 |
| Пустыня             | PROTECT ASSETS               |         504 |
| Пустыня             | DEADLY MARKSMAN              |         461 |
| Пустыня             | BEHIND ENEMY LINES           |         499 |
| Пустыня             | IMPLANT                      |         496 |
| Пустыня             | UPLOAD VIRAL CODE            |         490 |
| Пустыня             | TRIANGULATE                  |         481 |
| Пустыня             | PLANT SIGNAL BEACON          |         487 |
| Пустыня             | DAMAGE LIMITATION            |         456 |
| Пустыня             | VANTAGE                      |         473 |
| Пустыня             | SABOTAGE                     |         472 |
| Пустыня             | CAPTURE HOSTAGE & INFILTRATE |         479 |
| Пустыня             | HEADHUNTER                   |         481 |
| Пустыня             | RETRIEVAL                    |         474 |
| Пустыня             | HOLD THE LINE                |         495 |
| Пустыня             | CHALLENGE                    |         472 |
| Пустыня             | ROB AND RANSACK              |         466 |
| Пустыня             | PLANT BANNER                 |         471 |
| Пустыня             | ROUT                         |         485 |
| Пустыня             | OVERRUN                      |         464 |
| Пустыня             | INTERLOPER                   |         546 |
| Пустыня             | CENTRAL CONTROL              |         486 |
| Пустыня             | EXECUTION                    |         471 |
| Пустыня             | SEIZE GROUND                 |         511 |
| Лес                 | UPLOAD VIRAL CODE            |         465 |
| Лес                 | DAMAGE LIMITATION            |         451 |
| Лес                 | CAPTURE HOSTAGE & INFILTRATE |         488 |
| Лес                 | SABOTAGE                     |         453 |
| Лес                 | PROTECT ASSETS               |         474 |
