HEADHUNTER|Reveal this Tac Op when an enemy LEADER operative is incapacitated.
CHALLENGE|Reveal this Tac Op in the Target Reveal step of the first Turning Point. Select one enemy operative and one friendly operative.
ROUT|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
EXECUTION|Reveal this Tac Op at the end of any Turning Point in which more enemy operatives than friendly operatives were incapacitated during that Turning Point.
DEADLY MARKSMAN|After selecting this Tac Op, secretly select one friendly operative to be your Marksman. You can reveal this Tac Op when an enemy operative is incapacitated by a shooting attack made by your Marksman while your Marksman is wholly within  of your drop zone.
ROB AND RANSACK|You can reveal this Tac Op when an enemy operative is incapacitated by a friendly operative within 1 triangle of it, and that friendly operative is more than 3 squares  from other enemy operatives.
SEIZE GROUND|Reveal this Tac Op in the Target Reveal step of the first Turning Point. Select one terrain feature that is more than 3 squares from your drop zone and includes any parts with the Heavy trait.
HOLD THE LINE|You can reveal this Tac Op in the Target Reveal step of any Turning Point after the first.
PROTECT ASSETS|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
DAMAGE LIMITATION|You can reveal this Tac Op in the Target Reveal step of any Turning Point after the first.
PLANT BANNER|After selecting this Tac Op, secretly select one friendly operative to be carrying your Banner token. Reveal this Tac Op when that operative drops your Banner token. When you do, until the end of the battle, the Pick Up action can be performed by friendly operatives upon your Banner token.
CENTRAL CONTROL|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
CAPTURE HOSTAGE & INFILTRATE|You can reveal this Tac Op when an enemy operative is incapacitated by a friendly operative within 2 circles of it, and that friendly operative is more than 6 pentagons from other enemy operatives.
BEHIND ENEMY LINES|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
UPLOAD VIRAL CODE|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
IMPLANT|You can reveal this Tac Op when you would strike an enemy operative in a combat.
SABOTAGE|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
INTERLOPER|After selecting this Tac Op, secretly select one friendly operative to be your interloper. You must reveal this Tac Op when your interloper performs the Interlope action.
MARK TARGET|You can reveal this Tac Op when a friendly operative performs a Shoot action.
TRIANGULATE|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
PLANT SIGNAL BEACON|You must reveal this Tac Op when a friendly operative performs the Plant Signal Beacon action.
VANTAGE|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
RETRIEVAL|Reveal this Tac Op in the Target Reveal step of the first Turning Point. Your opponent places your Retrieval token anywhere in the killzone that is not on a Vantage Point and not wholly within or within 3 squares of their drop zone. The Pick Up action can be performed by friendly operatives upon your Retrieval token.
OVERRUN|You can reveal this Tac Op in the Target Reveal step of any Turning Point.
